rate,season,dc_period,demand_charge,ec_period,energy_charge
A-1,summer,,,none,0.2473
A-1,winter,,,none,0.1927
A-1 TOU,summer,,,on-peak,0.26298
A-1 TOU,summer,,,part-peak,0.23933
A-1 TOU,summer,,,off-peak,0.21197
A-1 TOU,winter,,,part-peak,0.22047
A-1 TOU,winter,,,off-peak,0.19956
A-6 TOU,summer,,,on-peak,0.55478
A-6 TOU,summer,,,part-peak,0.25796
A-6 TOU,summer,,,off-peak,0.18638
A-6 TOU,winter,,,part-peak,0.20442
A-6 TOU,winter,,,off-peak,0.18618
A-10,summer,,18.26,none,0.16286
A-10,winter,,10.93,none,0.12626
A-10 TOU,summer,,18.26,on-peak,0.21766
A-10 TOU,summer,,18.26,part-peak,0.16253
A-10 TOU,summer,,18.26,off-peak,0.13446
A-10 TOU,winter,,10.93,part-peak,0.13435
A-10 TOU,winter,,10.93,off-peak,0.11729
E-19 TOU,summer,max. peak,18.64,on-peak,0.15178
E-19 TOU,summer,part peak,5.18,part-peak,0.11127
E-19 TOU,summer,maximum,17.56,off-peak,0.08445
E-19 TOU,winter,part peak,0.12,part-peak,0.10573
E-19 TOU,winter,maximum,17.56,off-peak,0.09111
